dataset,horizon,method,mse_mean,mse_std,mae_mean,mae_std
smarteole,5,softs_power_compact,0.022007288,0.000118294,0.077015156,0.000248128
smarteole,5,mafs_adapted,0.021443814,0.000151633,0.075385737,0.000223127
smarteole,5,maspge_rs,0.021170923,0.000309973,0.075256655,0.000310519
smarteole,15,softs_power_compact,0.022541,0.000400,0.083723,0.000892
smarteole,15,mafs_adapted,0.022256921,0.000117427,0.082422568,0.000176298
smarteole,15,maspge_rs,0.021953916,0.000231818,0.082420500,0.000266105
smarteole,30,softs_power_compact,0.027182159,0.000378466,0.096341254,0.000682141
smarteole,30,mafs_adapted,0.026129526,0.000244768,0.094204625,0.000492104
smarteole,30,maspge_rs,0.025941021,0.000250708,0.094518979,0.000283753
sdwpf,5,softs_power_compact,0.067993487,0.000771859,0.178884944,0.001512360
sdwpf,5,mafs_adapted,0.058313604,0.000531474,0.163585815,0.000919187
sdwpf,5,maspge_rs,0.055704494,0.000576661,0.160079360,0.001343865
sdwpf,15,softs_power_compact,0.137760,0.002484,0.262012,0.003158
sdwpf,15,mafs_adapted,0.134617862,0.003316021,0.255937,0.002258
sdwpf,15,maspge_rs,0.126167125,0.002503442,0.249006,0.000744
sdwpf,30,softs_power_compact,0.218976998,0.004300858,0.328134215,0.003013704
sdwpf,30,mafs_adapted,0.215002212,0.005886276,0.324527270,0.003498079
sdwpf,30,maspge_rs,0.197916761,0.003975659,0.309852058,0.003692789
